 connect:0.009568s pretransfer:0.009723s starttransfer:0.014244s total:0.014389
 connect:0.036781s pretransfer:0.036898s starttransfer:0.044522s total:0.044670
 connect:0.029778s pretransfer:0.029918s starttransfer:0.039467s total:0.039632
 connect:0.086431s pretransfer:0.086573s starttransfer:0.091693s total:0.091866
 connect:0.029019s pretransfer:0.029168s starttransfer:0.034392s total:0.034512
 connect:0.024035s pretransfer:0.024194s starttransfer:0.030775s total:0.030914
 connect:0.051463s pretransfer:0.051614s starttransfer:0.062387s total:0.062546
 connect:0.074616s pretransfer:0.074717s starttransfer:0.079224s total:0.079346
 connect:0.022830s pretransfer:0.022951s starttransfer:0.027134s total:0.027276
 connect:0.024138s pretransfer:0.024257s starttransfer:0.028120s total:0.028253
 connect:0.027301s pretransfer:0.027418s starttransfer:0.031921s total:0.032045
 connect:0.044468s pretransfer:0.044577s starttransfer:0.052775s total:0.052909
 connect:0.027270s pretransfer:0.027359s starttransfer:0.037915s total:0.038020
 connect:0.023699s pretransfer:0.023812s starttransfer:0.028183s total:0.028289
 connect:0.030968s pretransfer:0.031087s starttransfer:0.034817s total:0.034972
 connect:0.022274s pretransfer:0.022386s starttransfer:0.027460s total:0.027596
 connect:0.024174s pretransfer:0.024318s starttransfer:0.027666s total:0.027781
 connect:0.019562s pretransfer:0.019656s starttransfer:0.025704s total:0.025841
 connect:0.023209s pretransfer:0.023336s starttransfer:0.031137s total:0.031294
 connect:0.017494s pretransfer:0.017635s starttransfer:0.023626s total:0.023804
 connect:0.029684s pretransfer:0.030021s starttransfer:0.032423s total:0.032535
 connect:0.024639s pretransfer:0.024763s starttransfer:0.032514s total:0.032658
 connect:0.016218s pretransfer:0.016311s starttransfer:0.019653s total:0.019820
 connect:0.023623s pretransfer:0.023749s starttransfer:0.029163s total:0.029316
 connect:0.042635s pretransfer:0.042758s starttransfer:0.046232s total:0.046368
 connect:0.034169s pretransfer:0.034260s starttransfer:0.037570s total:0.037665
 connect:0.036503s pretransfer:0.036780s starttransfer:0.041650s total:0.041752
 connect:0.023018s pretransfer:0.023123s starttransfer:0.027353s total:0.027463
 connect:0.022137s pretransfer:0.022260s starttransfer:0.025662s total:0.025792
 connect:0.024485s pretransfer:0.024682s starttransfer:0.028867s total:0.028988
 connect:0.021666s pretransfer:0.021783s starttransfer:0.025154s total:0.025264
 connect:0.028865s pretransfer:0.028965s starttransfer:0.034160s total:0.034295
 connect:0.019949s pretransfer:0.020106s starttransfer:0.026895s total:0.027040
 connect:0.022194s pretransfer:0.022285s starttransfer:0.026031s total:0.026144
 connect:0.023273s pretransfer:0.023443s starttransfer:0.029977s total:0.030114
 connect:0.027205s pretransfer:0.027341s starttransfer:0.030962s total:0.031066
 connect:0.028088s pretransfer:0.028249s starttransfer:0.032359s total:0.032454
 connect:0.023487s pretransfer:0.023596s starttransfer:0.028770s total:0.028903
 connect:0.018149s pretransfer:0.018241s starttransfer:0.021964s total:0.022097
 connect:0.145831s pretransfer:0.145901s starttransfer:0.149866s total:0.149990
 connect:0.019369s pretransfer:0.019507s starttransfer:0.026381s total:0.026488
 connect:0.020984s pretransfer:0.021111s starttransfer:0.027969s total:0.028110
 connect:0.027968s pretransfer:0.028102s starttransfer:0.035373s total:0.035577
 connect:0.029123s pretransfer:0.029287s starttransfer:0.035273s total:0.035413
 connect:0.027159s pretransfer:0.027429s starttransfer:0.043397s total:0.043642
 connect:0.043123s pretransfer:0.043235s starttransfer:0.051677s total:0.051802
 connect:0.028423s pretransfer:0.028521s starttransfer:0.033229s total:0.033376
 connect:0.027852s pretransfer:0.027956s starttransfer:0.033909s total:0.034047
 connect:0.020648s pretransfer:0.020769s starttransfer:0.026120s total:0.026237
 connect:0.022986s pretransfer:0.023084s starttransfer:0.027692s total:0.027822
 connect:0.038316s pretransfer:0.038447s starttransfer:0.046807s total:0.046975
 connect:0.019562s pretransfer:0.019712s starttransfer:0.027962s total:0.028494
 connect:0.031476s pretransfer:0.031594s starttransfer:0.036428s total:0.036570
 connect:0.025671s pretransfer:0.025902s starttransfer:0.032783s total:0.032885
 connect:0.027246s pretransfer:0.027380s starttransfer:0.034710s total:0.034913
 connect:0.033966s pretransfer:0.034104s starttransfer:0.041000s total:0.041367
 connect:0.040410s pretransfer:0.040577s starttransfer:0.054943s total:0.055098
 connect:0.021997s pretransfer:0.022123s starttransfer:0.026646s total:0.026812
 connect:0.021026s pretransfer:0.021196s starttransfer:0.027340s total:0.027500
 connect:0.040293s pretransfer:0.040391s starttransfer:0.045054s total:0.045191
 connect:0.029255s pretransfer:0.029380s starttransfer:0.033985s total:0.034210
 connect:0.027760s pretransfer:0.027882s starttransfer:0.033097s total:0.033231
 connect:0.027343s pretransfer:0.027468s starttransfer:0.031240s total:0.031367
 connect:0.022675s pretransfer:0.022789s starttransfer:0.026274s total:0.026381
 connect:0.029068s pretransfer:0.029183s starttransfer:0.033431s total:0.033560
 connect:0.035498s pretransfer:0.035615s starttransfer:0.039166s total:0.039290
 connect:0.021040s pretransfer:0.021148s starttransfer:0.025480s total:0.025610
 connect:0.022778s pretransfer:0.022865s starttransfer:0.026592s total:0.026697
 connect:0.019415s pretransfer:0.019508s starttransfer:0.023849s total:0.023984
 connect:0.023442s pretransfer:0.023570s starttransfer:0.030033s total:0.030219
 connect:0.023945s pretransfer:0.024056s starttransfer:0.028528s total:0.028662
 connect:0.028083s pretransfer:0.028195s starttransfer:0.031902s total:0.032019
 connect:0.024738s pretransfer:0.024916s starttransfer:0.030035s total:0.030146
 connect:0.021966s pretransfer:0.022091s starttransfer:0.025132s total:0.025245
 connect:0.028046s pretransfer:0.028195s starttransfer:0.035127s total:0.035306
 connect:0.020493s pretransfer:0.020714s starttransfer:0.035506s total:0.035792
 connect:0.177608s pretransfer:0.177797s starttransfer:0.186664s total:0.187248
 connect:0.028671s pretransfer:0.028760s starttransfer:0.034825s total:0.034959
 connect:0.022770s pretransfer:0.022940s starttransfer:0.028829s total:0.028962
 connect:0.027884s pretransfer:0.027991s starttransfer:0.032047s total:0.032151
 connect:0.032981s pretransfer:0.033101s starttransfer:0.043673s total:0.043816
 connect:0.039312s pretransfer:0.039537s starttransfer:0.047216s total:0.047442
 connect:0.021706s pretransfer:0.021838s starttransfer:0.029756s total:0.029901
 connect:0.034042s pretransfer:0.034195s starttransfer:0.043437s total:0.043582
 connect:0.033483s pretransfer:0.033635s starttransfer:0.043579s total:0.043821
 connect:0.037256s pretransfer:0.037391s starttransfer:0.042751s total:0.042881
 connect:0.033873s pretransfer:0.034006s starttransfer:0.038491s total:0.038684
 connect:0.030826s pretransfer:0.030960s starttransfer:0.038521s total:0.038650
 connect:0.017559s pretransfer:0.017711s starttransfer:0.025002s total:0.025117
 connect:0.028020s pretransfer:0.028168s starttransfer:0.032909s total:0.033037
 connect:0.025873s pretransfer:0.026228s starttransfer:0.033355s total:0.033470
 connect:0.025411s pretransfer:0.025551s starttransfer:0.031240s total:0.031360
 connect:0.032030s pretransfer:0.032191s starttransfer:0.036273s total:0.036403
 connect:0.035553s pretransfer:0.035699s starttransfer:0.039955s total:0.040075
 connect:0.040647s pretransfer:0.040789s starttransfer:0.044832s total:0.044952
 connect:0.023308s pretransfer:0.023433s starttransfer:0.030123s total:0.030255
 connect:0.035885s pretransfer:0.036069s starttransfer:0.039707s total:0.039825
 connect:0.027605s pretransfer:0.027772s starttransfer:0.032776s total:0.032888
 connect:0.031695s pretransfer:0.031834s starttransfer:0.036527s total:0.036670
 connect:0.032727s pretransfer:0.032863s starttransfer:0.037839s total:0.038050
 connect:0.031272s pretransfer:0.031365s starttransfer:0.034581s total:0.034692
 connect:0.032446s pretransfer:0.032542s starttransfer:0.035525s total:0.035624
 connect:0.036918s pretransfer:0.037036s starttransfer:0.040642s total:0.040777
 connect:0.027790s pretransfer:0.027910s starttransfer:0.031345s total:0.031449
 connect:0.021611s pretransfer:0.021717s starttransfer:0.025077s total:0.025183
 connect:0.038637s pretransfer:0.038802s starttransfer:0.043733s total:0.043860
 connect:0.027384s pretransfer:0.027643s starttransfer:0.034041s total:0.034161
 connect:0.020767s pretransfer:0.020878s starttransfer:0.026304s total:0.026432
 connect:0.018487s pretransfer:0.018607s starttransfer:0.024450s total:0.024562
 connect:0.019358s pretransfer:0.019467s starttransfer:0.023236s total:0.023345
 connect:0.022551s pretransfer:0.022742s starttransfer:0.027603s total:0.027733
 connect:0.020087s pretransfer:0.020206s starttransfer:0.024414s total:0.024535
 connect:0.032569s pretransfer:0.032682s starttransfer:0.036692s total:0.036815
 connect:0.025469s pretransfer:0.025570s starttransfer:0.029576s total:0.029722
 connect:0.032723s pretransfer:0.032859s starttransfer:0.037884s total:0.038030
 connect:0.160014s pretransfer:0.160156s starttransfer:0.165055s total:0.165170
 connect:0.029966s pretransfer:0.030327s starttransfer:0.035925s total:0.036047
 connect:0.031441s pretransfer:0.031568s starttransfer:0.036815s total:0.036967
 connect:0.024719s pretransfer:0.024838s starttransfer:0.029890s total:0.030005
 connect:0.027836s pretransfer:0.027945s starttransfer:0.034148s total:0.034290
 connect:0.031169s pretransfer:0.031337s starttransfer:0.037924s total:0.038066
 connect:0.024133s pretransfer:0.024322s starttransfer:0.033872s total:0.034009
 connect:0.031780s pretransfer:0.031917s starttransfer:0.037078s total:0.037218
 connect:0.026927s pretransfer:0.027173s starttransfer:0.032874s total:0.033032
 connect:0.025197s pretransfer:0.025335s starttransfer:0.032706s total:0.032831
 connect:0.034905s pretransfer:0.035027s starttransfer:0.040742s total:0.040851
 connect:0.023451s pretransfer:0.023583s starttransfer:0.029211s total:0.029356
 connect:0.026085s pretransfer:0.026215s starttransfer:0.031731s total:0.031886
 connect:0.024253s pretransfer:0.024381s starttransfer:0.028252s total:0.028365
 connect:0.041815s pretransfer:0.041960s starttransfer:0.047376s total:0.047556
 connect:0.033373s pretransfer:0.033645s starttransfer:0.039717s total:0.039855
 connect:0.036063s pretransfer:0.036182s starttransfer:0.041465s total:0.041584
 connect:0.023742s pretransfer:0.023864s starttransfer:0.029897s total:0.030028
 connect:0.032832s pretransfer:0.032939s starttransfer:0.036847s total:0.036961
 connect:0.036405s pretransfer:0.036574s starttransfer:0.046161s total:0.046279
 connect:0.034210s pretransfer:0.034347s starttransfer:0.038925s total:0.039092
 connect:0.021561s pretransfer:0.021680s starttransfer:0.025934s total:0.026055
 connect:0.027733s pretransfer:0.027933s starttransfer:0.034923s total:0.035058
 connect:0.021318s pretransfer:0.021412s starttransfer:0.026607s total:0.026800
 connect:0.018831s pretransfer:0.018938s starttransfer:0.024614s total:0.024738
 connect:0.020085s pretransfer:0.020210s starttransfer:0.024867s total:0.025022
 connect:0.032825s pretransfer:0.032912s starttransfer:0.036839s total:0.036949
 connect:0.020079s pretransfer:0.020196s starttransfer:0.023771s total:0.023919
 connect:0.027360s pretransfer:0.027483s starttransfer:0.031783s total:0.031912
 connect:0.027660s pretransfer:0.027755s starttransfer:0.031138s total:0.031243
 connect:0.026652s pretransfer:0.026766s starttransfer:0.030810s total:0.030934
 connect:0.042836s pretransfer:0.043001s starttransfer:0.048167s total:0.048297
 connect:0.020394s pretransfer:0.020530s starttransfer:0.023934s total:0.024041
 connect:0.019724s pretransfer:0.019864s starttransfer:0.024353s total:0.024463
 connect:0.032573s pretransfer:0.032712s starttransfer:0.036767s total:0.036899
 connect:0.023871s pretransfer:0.023962s starttransfer:0.027124s total:0.027245
 connect:0.148492s pretransfer:0.148601s starttransfer:0.152884s total:0.152996
 connect:0.034783s pretransfer:0.034910s starttransfer:0.043911s total:0.044045
 connect:0.024247s pretransfer:0.024350s starttransfer:0.028529s total:0.028730
 connect:0.032195s pretransfer:0.032305s starttransfer:0.039522s total:0.039708
 connect:0.028286s pretransfer:0.028404s starttransfer:0.034034s total:0.034167
 connect:0.020938s pretransfer:0.021088s starttransfer:0.029766s total:0.029966
 connect:0.040404s pretransfer:0.040600s starttransfer:0.050264s total:0.050394
 connect:0.031025s pretransfer:0.031151s starttransfer:0.036478s total:0.036622
 connect:0.029208s pretransfer:0.029321s starttransfer:0.034994s total:0.035156
 connect:0.048408s pretransfer:0.048547s starttransfer:0.059343s total:0.059540
 connect:0.022926s pretransfer:0.023088s starttransfer:0.029632s total:0.029798
 connect:0.021105s pretransfer:0.021288s starttransfer:0.032181s total:0.032653
 connect:0.025617s pretransfer:0.025804s starttransfer:0.035331s total:0.035461
 connect:0.032489s pretransfer:0.032783s starttransfer:0.041256s total:0.041366
 connect:0.031556s pretransfer:0.031673s starttransfer:0.035519s total:0.035654
 connect:0.042280s pretransfer:0.042387s starttransfer:0.050446s total:0.050586
 connect:0.031758s pretransfer:0.031859s starttransfer:0.036073s total:0.036185
 connect:0.034329s pretransfer:0.034457s starttransfer:0.040903s total:0.041088
 connect:0.029182s pretransfer:0.029305s starttransfer:0.032875s total:0.032992
 connect:0.030614s pretransfer:0.030751s starttransfer:0.039184s total:0.039330
 connect:0.049340s pretransfer:0.049549s starttransfer:0.053748s total:0.053927
 connect:0.043382s pretransfer:0.043553s starttransfer:0.049029s total:0.049206
 connect:0.032374s pretransfer:0.032514s starttransfer:0.038500s total:0.038635
 connect:0.029934s pretransfer:0.030068s starttransfer:0.034019s total:0.034129
 connect:0.042020s pretransfer:0.042127s starttransfer:0.046296s total:0.046494
 connect:0.031003s pretransfer:0.031094s starttransfer:0.034873s total:0.034980
 connect:0.031571s pretransfer:0.031654s starttransfer:0.035298s total:0.035407
 connect:0.034409s pretransfer:0.034577s starttransfer:0.038727s total:0.038899
 connect:0.033223s pretransfer:0.033335s starttransfer:0.036622s total:0.036748
 connect:0.019710s pretransfer:0.019836s starttransfer:0.023173s total:0.023276
 connect:0.027012s pretransfer:0.027174s starttransfer:0.030675s total:0.030800
 connect:0.032843s pretransfer:0.032933s starttransfer:0.038217s total:0.038331
 connect:0.023761s pretransfer:0.023877s starttransfer:0.029625s total:0.029737
 connect:0.019236s pretransfer:0.019368s starttransfer:0.029861s total:0.030009
 connect:0.016029s pretransfer:0.016152s starttransfer:0.019804s total:0.019930
 connect:0.017570s pretransfer:0.017670s starttransfer:0.021271s total:0.021414
 connect:0.026707s pretransfer:0.026838s starttransfer:0.033319s total:0.033476
 connect:0.030742s pretransfer:0.030880s starttransfer:0.040495s total:0.040673
 connect:0.102125s pretransfer:0.102322s starttransfer:0.107972s total:0.108184
 connect:0.022122s pretransfer:0.022248s starttransfer:0.028785s total:0.028905
 connect:0.031886s pretransfer:0.032012s starttransfer:0.039492s total:0.039716
 connect:0.025021s pretransfer:0.025117s starttransfer:0.031508s total:0.031642
 connect:0.031509s pretransfer:0.031627s starttransfer:0.036344s total:0.036476
 connect:0.023142s pretransfer:0.023276s starttransfer:0.032003s total:0.032120
 connect:0.008058s pretransfer:0.008211s starttransfer:0.014604s total:0.014852
 connect:0.029076s pretransfer:0.029205s starttransfer:0.033956s total:0.034104
 connect:0.036156s pretransfer:0.036296s starttransfer:0.040634s total:0.040752
 connect:0.032751s pretransfer:0.032888s starttransfer:0.037777s total:0.037896
 connect:0.029164s pretransfer:0.029279s starttransfer:0.033351s total:0.033491
 connect:0.025018s pretransfer:0.025163s starttransfer:0.030104s total:0.030218
 connect:0.031594s pretransfer:0.031735s starttransfer:0.041604s total:0.041828
 connect:0.031846s pretransfer:0.032019s starttransfer:0.036859s total:0.037013
 connect:0.040081s pretransfer:0.040307s starttransfer:0.049241s total:0.049365
 connect:0.022985s pretransfer:0.023093s starttransfer:0.034011s total:0.034228
 connect:0.025773s pretransfer:0.025941s starttransfer:0.031966s total:0.032354
 connect:0.011202s pretransfer:0.011311s starttransfer:0.018184s total:0.018298
 connect:0.030821s pretransfer:0.030961s starttransfer:0.037142s total:0.037259
 connect:0.030272s pretransfer:0.030384s starttransfer:0.038835s total:0.038967
 connect:0.025713s pretransfer:0.025831s starttransfer:0.031492s total:0.031608
 connect:0.026556s pretransfer:0.026678s starttransfer:0.030954s total:0.031082
 connect:0.027055s pretransfer:0.027165s starttransfer:0.031196s total:0.031357
 connect:0.024589s pretransfer:0.024704s starttransfer:0.028570s total:0.028697
 connect:0.030848s pretransfer:0.031106s starttransfer:0.035654s total:0.035782
 connect:0.027162s pretransfer:0.027251s starttransfer:0.031196s total:0.031319
 connect:0.020735s pretransfer:0.020836s starttransfer:0.024794s total:0.024924
 connect:0.025856s pretransfer:0.025956s starttransfer:0.029707s total:0.029823
 connect:0.028785s pretransfer:0.029064s starttransfer:0.035239s total:0.035346
 connect:0.025419s pretransfer:0.025541s starttransfer:0.030806s total:0.030935
 connect:0.025659s pretransfer:0.025917s starttransfer:0.030625s total:0.030751
 connect:0.026714s pretransfer:0.026811s starttransfer:0.030742s total:0.030860
 connect:0.153026s pretransfer:0.153133s starttransfer:0.157971s total:0.158112
 connect:0.021985s pretransfer:0.022119s starttransfer:0.030567s total:0.030674
 connect:0.023277s pretransfer:0.023381s starttransfer:0.030654s total:0.030789
 connect:0.026084s pretransfer:0.026172s starttransfer:0.032679s total:0.032816
 connect:0.048463s pretransfer:0.048613s starttransfer:0.054753s total:0.054909
 connect:0.024722s pretransfer:0.024853s starttransfer:0.029726s total:0.029845
 connect:0.025988s pretransfer:0.026116s starttransfer:0.030962s total:0.031094
 connect:0.023706s pretransfer:0.023847s starttransfer:0.030823s total:0.030942
 connect:0.024354s pretransfer:0.024480s starttransfer:0.028895s total:0.029067
 connect:0.026537s pretransfer:0.026699s starttransfer:0.032877s total:0.032992
 connect:0.030420s pretransfer:0.030677s starttransfer:0.039383s total:0.039513
 connect:0.027477s pretransfer:0.027651s starttransfer:0.034443s total:0.034572
 connect:0.031911s pretransfer:0.032057s starttransfer:0.036539s total:0.036680
 connect:0.030245s pretransfer:0.030370s starttransfer:0.034376s total:0.034492
 connect:0.025190s pretransfer:0.025324s starttransfer:0.033911s total:0.034040
 connect:0.032371s pretransfer:0.032526s starttransfer:0.039230s total:0.039375
 connect:0.041136s pretransfer:0.041377s starttransfer:0.047984s total:0.048121
 connect:0.029321s pretransfer:0.029418s starttransfer:0.038819s total:0.038941
 connect:0.030329s pretransfer:0.030461s starttransfer:0.037754s total:0.037911
 connect:0.025040s pretransfer:0.025150s starttransfer:0.029043s total:0.029195
 connect:0.022481s pretransfer:0.022606s starttransfer:0.028219s total:0.028368
 connect:0.027985s pretransfer:0.028093s starttransfer:0.033629s total:0.033784
 connect:0.033527s pretransfer:0.033688s starttransfer:0.037325s total:0.037463
 connect:0.024947s pretransfer:0.025136s starttransfer:0.029194s total:0.029303
 connect:0.017871s pretransfer:0.017979s starttransfer:0.022316s total:0.022460
 connect:0.020249s pretransfer:0.020347s starttransfer:0.026041s total:0.026174
 connect:0.024065s pretransfer:0.024178s starttransfer:0.027568s total:0.027681
 connect:0.022299s pretransfer:0.022485s starttransfer:0.026861s total:0.027010
 connect:0.026560s pretransfer:0.026646s starttransfer:0.030444s total:0.030554
 connect:0.024004s pretransfer:0.024125s starttransfer:0.028073s total:0.028194
 connect:0.018126s pretransfer:0.018219s starttransfer:0.022855s total:0.022997
 connect:0.029782s pretransfer:0.029924s starttransfer:0.034249s total:0.034401
 connect:0.025627s pretransfer:0.025735s starttransfer:0.028893s total:0.028999
 connect:0.026392s pretransfer:0.026478s starttransfer:0.030088s total:0.030211
 connect:0.025736s pretransfer:0.025872s starttransfer:0.029455s total:0.029570
 connect:0.020874s pretransfer:0.020964s starttransfer:0.027176s total:0.027429
 connect:0.032086s pretransfer:0.032173s starttransfer:0.037052s total:0.037190
 connect:0.028089s pretransfer:0.028211s starttransfer:0.036779s total:0.036903
 connect:0.027814s pretransfer:0.027935s starttransfer:0.037718s total:0.037846
 connect:0.027186s pretransfer:0.027332s starttransfer:0.032786s total:0.032936
 connect:0.028800s pretransfer:0.028977s starttransfer:0.038137s total:0.038254
 connect:0.043611s pretransfer:0.043771s starttransfer:0.048951s total:0.049098
 connect:0.039156s pretransfer:0.039301s starttransfer:0.047015s total:0.047138
 connect:0.024613s pretransfer:0.024880s starttransfer:0.034244s total:0.034394
 connect:0.027737s pretransfer:0.027901s starttransfer:0.033147s total:0.033283
 connect:0.027080s pretransfer:0.027197s starttransfer:0.035623s total:0.035773
