 connect:0.129181s pretransfer:0.129270s starttransfer:0.194627s total:0.194673
 connect:0.036385s pretransfer:0.036825s starttransfer:0.048888s total:0.048945
 connect:0.008976s pretransfer:0.009302s starttransfer:0.019805s total:0.019872
 connect:0.039769s pretransfer:0.039906s starttransfer:0.050013s total:0.050067
 connect:0.029675s pretransfer:0.029872s starttransfer:0.036988s total:0.037037
 connect:0.039562s pretransfer:0.039680s starttransfer:0.060194s total:0.060271
 connect:0.025462s pretransfer:0.025653s starttransfer:0.036574s total:0.036641
 connect:0.041457s pretransfer:0.041600s starttransfer:0.053915s total:0.053968
 connect:0.025400s pretransfer:0.025492s starttransfer:0.033569s total:0.033638
 connect:0.035893s pretransfer:0.036025s starttransfer:0.042606s total:0.042662
 connect:0.026989s pretransfer:0.027086s starttransfer:0.037642s total:0.037724
 connect:0.032958s pretransfer:0.033095s starttransfer:0.043098s total:0.043188
 connect:0.031483s pretransfer:0.031619s starttransfer:0.044632s total:0.044712
 connect:0.049465s pretransfer:0.049639s starttransfer:0.059525s total:0.059617
 connect:0.040632s pretransfer:0.040728s starttransfer:0.050667s total:0.050733
 connect:0.026475s pretransfer:0.026628s starttransfer:0.035076s total:0.035153
 connect:0.037939s pretransfer:0.038187s starttransfer:0.048694s total:0.048785
 connect:0.079607s pretransfer:0.079736s starttransfer:0.086297s total:0.086349
 connect:0.041319s pretransfer:0.041461s starttransfer:0.053570s total:0.053623
 connect:0.029406s pretransfer:0.029496s starttransfer:0.035806s total:0.035875
 connect:0.023183s pretransfer:0.023278s starttransfer:0.030445s total:0.030508
 connect:0.037191s pretransfer:0.037472s starttransfer:0.044758s total:0.044804
 connect:0.032611s pretransfer:0.032702s starttransfer:0.039357s total:0.039419
 connect:0.025779s pretransfer:0.025908s starttransfer:0.032979s total:0.033026
 connect:0.034153s pretransfer:0.034242s starttransfer:0.040037s total:0.040085
 connect:0.029953s pretransfer:0.030113s starttransfer:0.040769s total:0.040825
 connect:0.024048s pretransfer:0.024163s starttransfer:0.032698s total:0.032746
 connect:0.024664s pretransfer:0.024798s starttransfer:0.033429s total:0.033534
 connect:0.024308s pretransfer:0.024444s starttransfer:0.031774s total:0.031825
 connect:0.034794s pretransfer:0.034960s starttransfer:0.045723s total:0.045794
 connect:0.023586s pretransfer:0.023685s starttransfer:0.029978s total:0.030029
 connect:0.032879s pretransfer:0.032997s starttransfer:0.044923s total:0.044990
 connect:0.036020s pretransfer:0.036447s starttransfer:0.049575s total:0.049682
 connect:0.031348s pretransfer:0.031450s starttransfer:0.040625s total:0.040718
 connect:0.025895s pretransfer:0.026078s starttransfer:0.036248s total:0.036299
 connect:0.026838s pretransfer:0.026951s starttransfer:0.036463s total:0.036536
 connect:0.026367s pretransfer:0.026557s starttransfer:0.035861s total:0.035912
 connect:0.047707s pretransfer:0.047914s starttransfer:0.063083s total:0.063158
 connect:0.041866s pretransfer:0.041999s starttransfer:0.051148s total:0.051201
 connect:0.041921s pretransfer:0.042056s starttransfer:0.052536s total:0.052591
 connect:0.032648s pretransfer:0.032765s starttransfer:0.043718s total:0.043774
 connect:0.027558s pretransfer:0.027700s starttransfer:0.040917s total:0.040974
 connect:0.025378s pretransfer:0.025762s starttransfer:0.037951s total:0.038014
 connect:0.075306s pretransfer:0.075429s starttransfer:0.086724s total:0.086821
 connect:0.039019s pretransfer:0.039164s starttransfer:0.047546s total:0.047605
 connect:0.031638s pretransfer:0.031772s starttransfer:0.040401s total:0.040455
 connect:0.035829s pretransfer:0.035930s starttransfer:0.043115s total:0.043186
 connect:0.035479s pretransfer:0.035606s starttransfer:0.044890s total:0.044947
 connect:0.037426s pretransfer:0.037581s starttransfer:0.048688s total:0.048752
 connect:0.032104s pretransfer:0.032261s starttransfer:0.041981s total:0.042086
 connect:0.036685s pretransfer:0.036860s starttransfer:0.044973s total:0.045042
 connect:0.036292s pretransfer:0.036450s starttransfer:0.044591s total:0.044660
 connect:0.032143s pretransfer:0.032250s starttransfer:0.039098s total:0.039161
 connect:0.028034s pretransfer:0.028241s starttransfer:0.039528s total:0.039580
 connect:0.027708s pretransfer:0.027805s starttransfer:0.037159s total:0.037219
 connect:0.051714s pretransfer:0.051918s starttransfer:0.062790s total:0.062844
 connect:0.024205s pretransfer:0.024296s starttransfer:0.036884s total:0.036952
 connect:0.022255s pretransfer:0.022385s starttransfer:0.031288s total:0.031342
 connect:0.028197s pretransfer:0.028339s starttransfer:0.035677s total:0.035728
 connect:0.033033s pretransfer:0.033183s starttransfer:0.043294s total:0.043360
 connect:0.035965s pretransfer:0.036114s starttransfer:0.046614s total:0.046684
 connect:0.030826s pretransfer:0.030955s starttransfer:0.041539s total:0.041592
 connect:0.024023s pretransfer:0.024162s starttransfer:0.039551s total:0.039601
 connect:0.032926s pretransfer:0.033032s starttransfer:0.041812s total:0.041871
 connect:0.038234s pretransfer:0.038326s starttransfer:0.044521s total:0.044579
 connect:0.030500s pretransfer:0.030709s starttransfer:0.039504s total:0.039548
 connect:0.019865s pretransfer:0.020012s starttransfer:0.026626s total:0.026677
 connect:0.027316s pretransfer:0.027407s starttransfer:0.034692s total:0.034747
 connect:0.030060s pretransfer:0.030190s starttransfer:0.037928s total:0.037990
 connect:0.024321s pretransfer:0.024413s starttransfer:0.032926s total:0.032983
 connect:0.047104s pretransfer:0.047217s starttransfer:0.054640s total:0.054692
 connect:0.026642s pretransfer:0.026777s starttransfer:0.034023s total:0.034076
 connect:0.030031s pretransfer:0.030145s starttransfer:0.040366s total:0.040433
 connect:0.036837s pretransfer:0.037024s starttransfer:0.049047s total:0.049187
 connect:0.033399s pretransfer:0.033526s starttransfer:0.045779s total:0.045840
 connect:0.023283s pretransfer:0.023396s starttransfer:0.035417s total:0.035475
 connect:0.029519s pretransfer:0.029643s starttransfer:0.037393s total:0.037462
 connect:0.027456s pretransfer:0.027581s starttransfer:0.038429s total:0.038495
 connect:0.028073s pretransfer:0.028280s starttransfer:0.035832s total:0.035892
 connect:0.029885s pretransfer:0.030009s starttransfer:0.039338s total:0.039392
 connect:0.047444s pretransfer:0.047600s starttransfer:0.060049s total:0.060121
 connect:0.031655s pretransfer:0.031816s starttransfer:0.039875s total:0.039941
 connect:0.032299s pretransfer:0.032404s starttransfer:0.042728s total:0.042784
 connect:0.032161s pretransfer:0.032248s starttransfer:0.039184s total:0.039237
 connect:0.036876s pretransfer:0.036988s starttransfer:0.046388s total:0.046448
 connect:0.033428s pretransfer:0.033564s starttransfer:0.040605s total:0.040670
 connect:0.040371s pretransfer:0.040557s starttransfer:0.053105s total:0.053164
 connect:0.029008s pretransfer:0.029145s starttransfer:0.039059s total:0.039120
 connect:0.039339s pretransfer:0.039457s starttransfer:0.051491s total:0.051561
 connect:0.027573s pretransfer:0.027697s starttransfer:0.034720s total:0.034794
 connect:0.023666s pretransfer:0.023789s starttransfer:0.032884s total:0.032934
 connect:0.036073s pretransfer:0.036274s starttransfer:0.047877s total:0.047931
 connect:0.030808s pretransfer:0.030942s starttransfer:0.042437s total:0.042495
 connect:0.026878s pretransfer:0.027021s starttransfer:0.036044s total:0.036108
 connect:0.032146s pretransfer:0.032272s starttransfer:0.039382s total:0.039439
 connect:0.027466s pretransfer:0.027631s starttransfer:0.035207s total:0.035262
 connect:0.024382s pretransfer:0.024525s starttransfer:0.032081s total:0.032130
 connect:0.021362s pretransfer:0.021497s starttransfer:0.029151s total:0.029211
 connect:0.020639s pretransfer:0.020766s starttransfer:0.031651s total:0.031705
 connect:0.028163s pretransfer:0.028296s starttransfer:0.036388s total:0.036437
 connect:0.020103s pretransfer:0.020202s starttransfer:0.026880s total:0.026933
 connect:0.026680s pretransfer:0.026808s starttransfer:0.035264s total:0.035324
 connect:0.020945s pretransfer:0.021046s starttransfer:0.028284s total:0.028336
 connect:0.027126s pretransfer:0.027209s starttransfer:0.038577s total:0.038633
 connect:0.031088s pretransfer:0.031176s starttransfer:0.037716s total:0.037780
 connect:0.033291s pretransfer:0.033387s starttransfer:0.041137s total:0.041194
 connect:0.025913s pretransfer:0.026026s starttransfer:0.034823s total:0.034899
 connect:0.033784s pretransfer:0.033894s starttransfer:0.043536s total:0.043589
 connect:0.044088s pretransfer:0.044217s starttransfer:0.052126s total:0.052183
 connect:0.025240s pretransfer:0.025359s starttransfer:0.033873s total:0.033924
 connect:0.047026s pretransfer:0.047198s starttransfer:0.058296s total:0.058370
 connect:0.037784s pretransfer:0.037955s starttransfer:0.058257s total:0.058321
 connect:0.030742s pretransfer:0.030982s starttransfer:0.042734s total:0.042811
 connect:0.029702s pretransfer:0.029870s starttransfer:0.037633s total:0.037703
 connect:0.030550s pretransfer:0.030717s starttransfer:0.044441s total:0.044593
 connect:0.039974s pretransfer:0.040121s starttransfer:0.051693s total:0.051780
 connect:0.031540s pretransfer:0.031676s starttransfer:0.041401s total:0.041483
 connect:0.036522s pretransfer:0.036644s starttransfer:0.050969s total:0.051034
 connect:0.032428s pretransfer:0.032525s starttransfer:0.042852s total:0.042907
 connect:0.032136s pretransfer:0.032323s starttransfer:0.042375s total:0.042439
 connect:0.033408s pretransfer:0.033592s starttransfer:0.043174s total:0.043227
 connect:0.040863s pretransfer:0.041104s starttransfer:0.048168s total:0.048227
 connect:0.042330s pretransfer:0.042500s starttransfer:0.052338s total:0.052423
 connect:0.030018s pretransfer:0.030160s starttransfer:0.037304s total:0.037357
 connect:0.039513s pretransfer:0.039617s starttransfer:0.047830s total:0.047890
 connect:0.030791s pretransfer:0.031006s starttransfer:0.038893s total:0.038944
 connect:0.029742s pretransfer:0.029853s starttransfer:0.039983s total:0.040035
 connect:0.023378s pretransfer:0.023501s starttransfer:0.035004s total:0.035059
 connect:0.038721s pretransfer:0.038948s starttransfer:0.055668s total:0.055727
 connect:0.038736s pretransfer:0.038908s starttransfer:0.047009s total:0.047068
 connect:0.040854s pretransfer:0.040983s starttransfer:0.049727s total:0.049784
 connect:0.028875s pretransfer:0.028978s starttransfer:0.036821s total:0.036874
 connect:0.036846s pretransfer:0.036943s starttransfer:0.045716s total:0.045773
 connect:0.028284s pretransfer:0.028378s starttransfer:0.035568s total:0.035633
 connect:0.034306s pretransfer:0.034415s starttransfer:0.044732s total:0.044783
 connect:0.025345s pretransfer:0.025443s starttransfer:0.032285s total:0.032341
 connect:0.031103s pretransfer:0.031266s starttransfer:0.041759s total:0.041819
 connect:0.027076s pretransfer:0.027176s starttransfer:0.035247s total:0.035315
 connect:0.022564s pretransfer:0.022679s starttransfer:0.030981s total:0.031041
 connect:0.029816s pretransfer:0.029894s starttransfer:0.037780s total:0.037843
 connect:0.039934s pretransfer:0.040104s starttransfer:0.046822s total:0.046891
 connect:0.033529s pretransfer:0.033641s starttransfer:0.109624s total:0.109677
 connect:0.025408s pretransfer:0.025545s starttransfer:0.032899s total:0.032962
 connect:0.164002s pretransfer:0.164115s starttransfer:0.171422s total:0.171472
 connect:0.028790s pretransfer:0.028935s starttransfer:0.036535s total:0.036609
 connect:0.032634s pretransfer:0.032794s starttransfer:0.045988s total:0.046067
 connect:0.039260s pretransfer:0.039460s starttransfer:0.047889s total:0.047970
 connect:0.044984s pretransfer:0.045097s starttransfer:0.052189s total:0.052316
 connect:0.020637s pretransfer:0.020785s starttransfer:0.032908s total:0.032978
 connect:0.025777s pretransfer:0.026068s starttransfer:0.034381s total:0.034437
 connect:0.029276s pretransfer:0.029413s starttransfer:0.046102s total:0.046194
 connect:0.002946s pretransfer:0.003137s starttransfer:0.012925s total:0.012996
 connect:0.038648s pretransfer:0.038782s starttransfer:0.050642s total:0.050709
 connect:0.034440s pretransfer:0.034572s starttransfer:0.046498s total:0.046575
 connect:0.034586s pretransfer:0.034722s starttransfer:0.045460s total:0.045533
 connect:0.030273s pretransfer:0.030415s starttransfer:0.039001s total:0.039061
 connect:0.033322s pretransfer:0.033471s starttransfer:0.040903s total:0.040961
 connect:0.037293s pretransfer:0.037539s starttransfer:0.048746s total:0.048835
 connect:0.039045s pretransfer:0.039159s starttransfer:0.048749s total:0.048843
 connect:0.037588s pretransfer:0.037750s starttransfer:0.048875s total:0.048931
 connect:0.024149s pretransfer:0.024314s starttransfer:0.038462s total:0.038541
 connect:0.037145s pretransfer:0.037455s starttransfer:0.051626s total:0.051685
 connect:0.025159s pretransfer:0.025305s starttransfer:0.113906s total:0.113974
 connect:0.038603s pretransfer:0.038759s starttransfer:0.052064s total:0.052135
 connect:0.040308s pretransfer:0.040480s starttransfer:0.047963s total:0.048088
 connect:0.025828s pretransfer:0.025987s starttransfer:0.039013s total:0.039069
 connect:0.026140s pretransfer:0.026240s starttransfer:0.034421s total:0.034488
 connect:0.021838s pretransfer:0.021961s starttransfer:0.029736s total:0.029832
 connect:0.023668s pretransfer:0.023776s starttransfer:0.032931s total:0.032989
 connect:0.031182s pretransfer:0.031403s starttransfer:0.040764s total:0.040869
 connect:0.032449s pretransfer:0.032556s starttransfer:0.039386s total:0.039457
 connect:0.042131s pretransfer:0.042219s starttransfer:0.049113s total:0.049169
 connect:0.026859s pretransfer:0.027033s starttransfer:0.033464s total:0.033516
 connect:0.027252s pretransfer:0.027340s starttransfer:0.035265s total:0.035330
 connect:0.027809s pretransfer:0.027916s starttransfer:0.036746s total:0.036825
 connect:0.031033s pretransfer:0.031158s starttransfer:0.039592s total:0.039647
 connect:0.033477s pretransfer:0.033641s starttransfer:0.043548s total:0.043602
 connect:0.030627s pretransfer:0.030723s starttransfer:0.038819s total:0.038874
 connect:0.027571s pretransfer:0.027678s starttransfer:0.036848s total:0.036911
 connect:0.028366s pretransfer:0.028494s starttransfer:0.040058s total:0.040120
 connect:0.030123s pretransfer:0.030265s starttransfer:0.040525s total:0.040594
 connect:0.028811s pretransfer:0.029495s starttransfer:0.040077s total:0.040142
 connect:0.041788s pretransfer:0.041923s starttransfer:0.050299s total:0.050361
 connect:0.033327s pretransfer:0.033433s starttransfer:0.044449s total:0.044512
 connect:0.030767s pretransfer:0.030855s starttransfer:0.038640s total:0.038710
 connect:0.039315s pretransfer:0.039473s starttransfer:0.052996s total:0.053063
 connect:0.027359s pretransfer:0.027519s starttransfer:0.042433s total:0.042511
 connect:0.033735s pretransfer:0.033910s starttransfer:0.044859s total:0.044918
 connect:0.043936s pretransfer:0.044046s starttransfer:0.056864s total:0.056942
 connect:0.031173s pretransfer:0.031317s starttransfer:0.040910s total:0.040978
 connect:0.045126s pretransfer:0.045242s starttransfer:0.054122s total:0.054185
 connect:0.026973s pretransfer:0.027205s starttransfer:0.034774s total:0.034829
 connect:0.032374s pretransfer:0.032524s starttransfer:0.042705s total:0.042780
 connect:0.030904s pretransfer:0.031008s starttransfer:0.040914s total:0.040980
 connect:0.038277s pretransfer:0.038447s starttransfer:0.047302s total:0.047373
 connect:0.039539s pretransfer:0.039664s starttransfer:0.048169s total:0.048235
 connect:0.062005s pretransfer:0.062105s starttransfer:0.070898s total:0.070954
 connect:0.034586s pretransfer:0.034704s starttransfer:0.044490s total:0.044552
 connect:0.034479s pretransfer:0.034609s starttransfer:0.044047s total:0.044129
 connect:0.046228s pretransfer:0.046334s starttransfer:0.057635s total:0.057698
 connect:0.029137s pretransfer:0.029249s starttransfer:0.036867s total:0.036920
 connect:0.024713s pretransfer:0.024835s starttransfer:0.031844s total:0.031895
 connect:0.028039s pretransfer:0.028137s starttransfer:0.036799s total:0.036856
 connect:0.022345s pretransfer:0.022439s starttransfer:0.030895s total:0.030944
 connect:0.030320s pretransfer:0.030424s starttransfer:0.040905s total:0.040963
 connect:0.023192s pretransfer:0.023297s starttransfer:0.030309s total:0.030396
 connect:0.027939s pretransfer:0.028053s starttransfer:0.037563s total:0.037631
 connect:0.030562s pretransfer:0.030654s starttransfer:0.037828s total:0.037882
 connect:0.025900s pretransfer:0.026091s starttransfer:0.039596s total:0.039674
 connect:0.024945s pretransfer:0.025084s starttransfer:0.031895s total:0.031965
 connect:0.026026s pretransfer:0.026192s starttransfer:0.033888s total:0.033949
 connect:0.023983s pretransfer:0.024086s starttransfer:0.030568s total:0.030632
 connect:0.028572s pretransfer:0.028697s starttransfer:0.037671s total:0.037729
 connect:0.038103s pretransfer:0.038206s starttransfer:0.047413s total:0.047483
 connect:0.154765s pretransfer:0.154887s starttransfer:0.165887s total:0.165947
 connect:0.037613s pretransfer:0.037724s starttransfer:0.050253s total:0.050323
 connect:0.037665s pretransfer:0.037804s starttransfer:0.047712s total:0.047772
 connect:0.024080s pretransfer:0.024213s starttransfer:0.033308s total:0.033407
 connect:0.045317s pretransfer:0.045509s starttransfer:0.061226s total:0.061306
 connect:0.036793s pretransfer:0.036928s starttransfer:0.044804s total:0.044867
 connect:0.027065s pretransfer:0.027221s starttransfer:0.040698s total:0.040768
 connect:0.032287s pretransfer:0.032390s starttransfer:0.040860s total:0.040922
 connect:0.071039s pretransfer:0.071193s starttransfer:0.082569s total:0.082657
 connect:0.041937s pretransfer:0.042079s starttransfer:0.051589s total:0.051660
